% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2025
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2025 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2025, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
196208	 -0.01753789	  0.00425841	-99
196209	 -0.00415731	  0.01112344	-99
196210	 -0.10412209	 -0.07388795	-99
196211	 -0.01824947	  0.02812444	-99
196212	 -0.00509050	  0.01495171	-99
196301	 -0.05642739	  0.00941523	-99
196302	  0.01185297	  0.02178415	-99
196303	 -0.02395734	 -0.01969161	-99
196304	  0.05562412	  0.07847414	-99
196305	  0.00354064	 -0.00906589	-99
196306	  0.00938516	 -0.00267686	-99
196307	  0.01587546	  0.02159807	-99
196308	  0.03380066	  0.03688214	-99
196309	 -0.00752384	  0.01933947	-99
196310	  0.02808224	  0.03170314	-99
196311	 -0.05313499	 -0.05939643	-99
196312	 -0.02023270	  0.01140819	-99
196401	 -0.07113593	 -0.05404823	-99
196402	 -0.02474991	  0.01105828	-99
196403	  0.03396787	  0.04679998	-99
196404	 -0.04026889	 -0.02680916	-99
196405	 -0.02572298	 -0.00843588	-99
196406	 -0.05645846	 -0.01051378	-99
196407	  0.05873522	  0.05557532	-99
196408	 -0.04930573	 -0.04355568	-99
196409	 -0.00816300	  0.00871626	-99
196410	  0.01277831	  0.03905382	-99
196411	  0.01488699	 -0.00308632	-99
196412	 -0.02673156	 -0.01476794	-99
196501	  0.03792251	  0.06907628	-99
196502	 -0.01642620	  0.02327839	-99
196503	  0.03436055	  0.01699815	-99
196504	  0.02236666	  0.04134488	-99
196505	 -0.01294343	  0.03363387	-99
196506	 -0.16337374	 -0.11288011	-99
196507	 -0.08128503	 -0.05257815	-99
196508	 -0.03474532	  0.07384417	-99
196509	  0.02698768	  0.06445738	-99
196510	  0.00619744	 -0.02450848	-99
196511	  0.04540888	  0.06600396	-99
196512	  0.04088016	  0.02533187	-99
196601	  0.03811289	  0.01707468	-99
196602	  0.03501151	  0.04360995	-99
196603	 -0.06624408	 -0.06554850	-99
196604	  0.02545024	  0.05177691	-99
196605	 -0.12156914	 -0.07677926	-99
196606	 -0.05336881	 -0.01609734	-99
196607	 -0.03300108	  0.00885982	-99
196608	 -0.10666724	 -0.08628354	-99
196609	 -0.08782702	 -0.04752141	-99
196610	 -0.20655655	 -0.08432203	-99
196611	 -0.05460822	  0.04700143	-99
196612	 -0.02167761	  0.04846665	-99
196701	 -0.02730605	  0.01293472	-99
196702	 -0.07258044	  0.01432923	-99
196703	 -0.00863020	  0.03530452	-99
196704	 -0.00152601	  0.02026335	-99
196705	  0.01392218	  0.02362685	-99
196706	 -0.06196398	 -0.04872730	-99
196707	 -0.02843717	  0.01175350	-99
196708	  0.02907322	  0.07046546	-99
196709	  0.02354400	  0.03128358	-99
196710	 -0.03057043	 -0.04273159	-99
196711	 -0.03066821	 -0.01380812	-99
196712	  0.00158985	  0.03347359	-99
196801	 -0.02152292	  0.00277601	 -0.02725374	
196802	 -0.04012737	 -0.02540306	  0.02387298	
196803	 -0.11694720	 -0.08725577	  0.00783476	
196804	  0.02245336	  0.08557644	  0.00450124	
196805	 -0.02061336	  0.01335513	 -0.01657204	
196806	  0.00827881	  0.03147734	 -0.00481875	
196807	 -0.01049552	  0.00883564	 -0.03370015	
196808	 -0.02020000	 -0.00938142	  0.00620141	
196809	 -0.00869260	  0.01361618	  0.01302535	
196810	  0.00662270	  0.02631525	 -0.00030881	
196811	 -0.00021616	  0.01553122	 -0.00533361	
196812	 -0.02857451	 -0.01126491	  0.01128683	
196901	 -0.03378827	 -0.00855144	  0.02437267	
196902	 -0.02503146	  0.01071191	  0.05609802	
196903	 -0.02243807	  0.00680963	 -0.02095685	
196904	 -0.01268436	  0.00891276	  0.00818278	
196905	  0.01167229	  0.04560715	  0.01182251	
196906	 -0.04760217	 -0.03880222	  0.05770140	
196907	 -0.12262557	 -0.09391598	  0.03421764	
196908	 -0.08788926	 -0.04776415	 -0.01483182	
196909	  0.01326210	  0.09007984	  0.01180608	
196910	 -0.06028536	 -0.02290642	 -0.05502000	
196911	  0.01656767	  0.03817769	  0.02940307	
196912	 -0.01985064	 -0.02401808	  0.02159208	
197001	 -0.11004578	 -0.07056516	  0.02091910	
197002	 -0.08134631	 -0.01198773	 -0.06326719	
197003	 -0.13943247	 -0.06301844	  0.00313357	
197004	 -0.09404720	 -0.02770165	  0.04374087	
197005	 -0.24058962	 -0.19541433	 -0.08160192	
197006	 -0.18763661	 -0.14255644	 -0.02973870	
197007	 -0.01379302	  0.06382024	 -0.00053293	
197008	 -0.06668942	  0.01075939	 -0.00036914	
197009	 -0.06687686	 -0.01518667	 -0.01589989	
197010	  0.09626963	  0.09642307	 -0.01705225	
197011	 -0.05985777	 -0.04406559	 -0.00300729	
197012	 -0.07305925	 -0.01921523	  0.04879788	
197101	  0.01775738	  0.04334929	 -0.05336803	
197102	 -0.06448738	 -0.03632252	 -0.02201064	
197103	  0.03170202	  0.06007194	  0.01530460	
197104	 -0.00994426	  0.00843583	  0.02560520	
197105	 -0.01747033	 -0.02575965	  0.00818005	
197106	 -0.04414689	 -0.01236814	 -0.03594836	
197107	 -0.10143692	 -0.03375357	  0.00194722	
197108	 -0.04506738	 -0.00823844	  0.02514275	
197109	  0.01981043	  0.06111170	  0.00725001	
197110	 -0.05636502	 -0.01162682	  0.04217397	
197111	 -0.09198452	 -0.03919008	  0.00379761	
197112	  0.00849975	  0.04639057	  0.00063541	
197201	 -0.09412327	 -0.08016783	 -0.03165405	
197202	 -0.03059229	  0.01361054	  0.01305736	
197203	 -0.01137194	  0.02590858	  0.04358142	
197204	 -0.00296181	  0.01784912	  0.01318491	
197205	 -0.06445105	 -0.04371539	  0.00285359	
197206	  0.00610678	  0.00135076	  0.01522601	
197207	 -0.08955118	 -0.06715545	  0.00345166	
197208	  0.01516739	  0.01972162	 -0.03811519	
197209	 -0.01895513	  0.02765723	 -0.01763365	
197210	 -0.03729688	 -0.02429956	 -0.02682961	
197211	 -0.01693803	 -0.03248441	 -0.00271402	
197212	 -0.07355433	 -0.03677899	  0.01256418	
197301	 -0.05781597	 -0.02885299	 -0.01537384	
197302	 -0.04848609	  0.02639260	 -0.00968023	
197303	 -0.02981713	 -0.01234340	 -0.01262037	
197304	 -0.04049673	 -0.01377473	  0.02396101	
197305	 -0.11534524	 -0.06584186	 -0.00250674	
197306	 -0.20033396	 -0.16704995	 -0.03279152	
197307	 -0.09612574	 -0.01255388	  0.00209132	
197308	 -0.09688873	 -0.02452639	  0.01626121	
197309	 -0.12374833	 -0.00369548	  0.01614033	
197310	 -0.05408868	  0.02394273	 -0.04158776	
197311	 -0.31161667	 -0.24446654	 -0.02700703	
197312	 -0.13158119	 -0.09117083	 -0.01678583	
197401	 -0.16222720	 -0.06862406	  0.10003954	
197402	 -0.12088687	 -0.05727756	  0.03842331	
197403	 -0.00128861	  0.11306718	  0.04638777	
197404	 -0.04192198	  0.00435129	  0.02470078	
197405	 -0.10176213	 -0.08557808	  0.05899909	
197406	 -0.06932317	 -0.06728401	 -0.00833562	
197407	 -0.23112680	 -0.13741161	 -0.00878758	
197408	 -0.10245791	 -0.06685314	 -0.03188770	
197409	 -0.11024509	 -0.06634915	  0.02138904	
197410	 -0.08558988	  0.00466818	 -0.07730951	
197411	 -0.08357197	  0.03403166	 -0.02264659	
197412	 -0.10501184	 -0.04211269	  0.01489029	
197501	 -0.11363304	 -0.07821616	  0.10976251	
197502	 -0.07571792	  0.01623686	  0.03499710	
197503	 -0.13072618	  0.00614601	  0.06108324	
197504	 -0.00006113	  0.03409114	  0.00043326	
197505	 -0.06664295	 -0.01093392	 -0.03311745	
197506	  0.02342892	  0.02254493	 -0.01986401	
197507	 -0.05962913	 -0.02695871	 -0.00811703	
197508	 -0.12755959	 -0.12348514	 -0.00868076	
197509	 -0.08962069	 -0.05607044	 -0.01823398	
197510	 -0.06301793	  0.02443988	  0.09022603	
197511	  0.00742798	  0.02586179	  0.03834046	
197512	 -0.02442823	 -0.02109105	 -0.00272206	
197601	 -0.06023961	 -0.03606710	  0.01794455	
197602	 -0.01924537	  0.05301211	 -0.04174809	
197603	 -0.01869400	  0.00927455	 -0.01820854	
197604	 -0.02011328	 -0.03566353	 -0.01956240	
197605	 -0.09060680	 -0.08033670	 -0.04101378	
197606	 -0.06467719	 -0.02551086	 -0.00525381	
197607	 -0.09339624	 -0.05275649	 -0.02909312	
197608	 -0.01602767	  0.02794463	  0.01859199	
197609	 -0.05769310	  0.00369029	 -0.01632100	
197610	 -0.08626924	 -0.03865046	  0.00456528	
197611	 -0.07746049	 -0.02005604	 -0.02211375	
197612	 -0.02567970	  0.05372852	 -0.01317446	
197701	 -0.06248761	 -0.04469347	 -0.03013849	
197702	 -0.00041356	  0.03390502	 -0.01092329	
197703	 -0.05633369	  0.03260058	  0.01184224	
197704	 -0.01032901	 -0.00883858	 -0.02500654	
197705	 -0.03332118	 -0.01420621	  0.01711153	
197706	 -0.00864477	  0.01557654	  0.02131602	
197707	 -0.04797844	 -0.01357351	  0.00144966	
197708	 -0.04286200	  0.00418159	  0.03236101	
197709	 -0.04744495	 -0.02160316	  0.00955317	
197710	 -0.03264378	 -0.00299758	 -0.01171720	
197711	 -0.01413313	  0.02537035	  0.00264034	
197712	  0.02184360	  0.03700739	 -0.00462444	
197801	 -0.04222161	 -0.00745734	  0.00636645	
197802	 -0.01929964	  0.01119200	  0.00270727	
197803	 -0.01023073	  0.00305676	  0.01500502	
197804	 -0.00805639	  0.01760854	  0.02308472	
197805	  0.01783673	  0.02102591	  0.01600690	
197806	  0.01073975	  0.01332505	  0.00999950	
197807	 -0.04356201	 -0.03670640	  0.02569966	
197808	  0.02052930	  0.03465909	 -0.00140460	
197809	 -0.00565282	 -0.01110552	 -0.02920765	
197810	 -0.10691945	 -0.10188948	  0.04567036	
197811	 -0.07501652	 -0.03542851	 -0.02900266	
197812	 -0.03418043	  0.03568307	 -0.00453097	
197901	 -0.01440727	  0.02706821	 -0.01087817	
197902	 -0.03296980	  0.00765570	 -0.02345606	
197903	 -0.04423462	  0.01975332	 -0.00203792	
197904	  0.00478472	  0.05502433	  0.02216162	
197905	 -0.08097956	 -0.04561946	 -0.01406950	
